note_count_q1,pitch_mean_q1,pitch_std_q1,pitch_range_q1,note_density_q1,interval_mean_q1,stepwise_ratio_q1,unique_pitches_q1,note_count_q2,pitch_mean_q2,pitch_std_q2,pitch_range_q2,note_density_q2,interval_mean_q2,stepwise_ratio_q2,unique_pitches_q2,note_count_q3,pitch_mean_q3,pitch_std_q3,pitch_range_q3,note_density_q3,interval_mean_q3,stepwise_ratio_q3,unique_pitches_q3,note_count_q4,pitch_mean_q4,pitch_std_q4,pitch_range_q4,note_density_q4,interval_mean_q4,stepwise_ratio_q4,unique_pitches_q4,note_count_slope,pitch_mean_slope,pitch_std_slope,pitch_range_slope,note_density_slope,interval_mean_slope,stepwise_ratio_slope,unique_pitches_slope,piece_id,composer,popularity
1648,63.151092233009706,13.599002721546139,60,8.188819875776398,11.970856102003642,0.2665452337583485,56,1581,65.38646426312461,12.859698071655382,55,7.855900621118012,11.231645569620254,0.2582278481012658,53,1557,65.30378933847142,10.965857787778145,46,7.785,8.265424164524422,0.38881748071979433,40,1460,66.11027397260274,10.931080668555751,45,7.2817955112219455,7.568882796435915,0.43591501028101437,36,-58.80000000000028,0.8794870294125761,-0.9897606442848428,-5.400000000000012,-0.27919737147813756,-1.6172141321799038,0.06386989621865258,-7.3,vivaldi-violin_concerto_op8_n07_rv242_per_pisendel,vivaldi,34
488,63.96106557377049,12.46982096624191,52,9.475728155339805,11.62217659137577,0.1375770020533881,34,729,63.50480109739369,12.386451800162513,50,14.22439024390244,11.958791208791208,0.13186813186813187,35,551,63.526315789473685,13.515157077097081,53,10.751219512195123,13.370909090909091,0.1690909090909091,35,395,66.46835443037975,13.843643556244643,52,7.247706422018348,10.246192893401016,0.2893401015228426,25,-45.700000000000045,0.7543381261907606,0.5250173046942741,0.29999999999998983,-1.0157235931671702,-0.27158332118063944,0.04925120756311404,-2.700000000000004,vivaldi-concertos_op3_01-12_lestro_armonico-concerto_op3_n09_for_violin_rv230_1mov,vivaldi,42
134,75.26865671641791,5.003229075373608,29,4.5423728813559325,5.774436090225564,0.23308270676691728,15,160,72.8,3.5686131760110964,16,5.378151260504202,4.710691823899371,0.23270440251572327,15,148,72.04729729729729,7.92220149195802,29,5.016949152542373,9.510204081632653,0.272108843537415,18,191,71.26701570680628,6.3869066814748825,33,6.420168067226891,6.647368421052631,0.3263157894736842,24,15.900000000000002,-1.275762573153777,0.850462113425075,2.4999999999999973,0.5272183449651038,0.7418309250214478,0.03191036891419923,2.9999999999999987,vivaldi-concertos_op4_01-04__la_stravaganza-concerto_op4_n04_for_violin_strings_and_continuo_rv357_2mov_la_stravaganza,vivaldi,53
1202,65.83527454242929,13.268235633953145,60,9.852459016393443,9.954204829308908,0.37218984179850123,51,1069,70.10757717492984,11.771230193420521,65,8.74437627811861,9.214419475655431,0.29775280898876405,49,1041,67.60999039385206,11.27567647722832,68,8.509536784741146,7.848076923076923,0.3576923076923077,49,1005,68.48955223880597,11.218904634256624,58,8.154158215010142,8.667330677290837,0.20717131474103587,35,-61.90000000000012,0.5465246308052177,-0.6643546715281797,-0.3000000000000069,-0.5329741897527381,-0.5226965008632735,-0.04351160824688527,-4.800000000000006,vivaldi-violin_concerto_op9_n6_rv348_1_2mov,vivaldi,48
299,64.90301003344482,9.654255008499106,46,8.72992700729927,7.2114093959731544,0.3288590604026846,27,272,72.57720588235294,6.830505395474954,34,7.608391608391608,5.380073800738008,0.4354243542435424,25,280,71.6,6.471696620118804,34,7.777777777777778,4.870967741935484,0.44802867383512546,25,343,66.12827988338192,10.14851174444828,48,9.73049645390071,7.143274853801169,0.30116959064327486,27,13.99999999999997,0.26986036674582875,0.11239614324913567,0.5999999999999948,0.317109450919047,-0.0713509685318489,-0.007046408968664699,-3.79801067982192e-15,vivaldi-concertos_op3_01-12_lestro_armonico-concerto_op3_n08_for_2_violins_rv522_2mov,vivaldi,48
392,65.22704081632654,12.795366804097304,48,14.933333333333334,12.68542199488491,0.12276214833759591,23,288,71.97569444444444,7.148433652515325,27,11.076923076923077,6.951219512195122,0.37282229965156793,16,298,71.95973154362416,6.823153627999803,28,11.352380952380953,6.35016835016835,0.4107744107744108,20,376,67.37234042553192,11.705821467310017,50,13.672727272727272,10.104,0.21066666666666667,23,-3.8000000000000584,0.6419935926795839,-0.3593916034877402,0.6999999999999921,-0.35063603063603366,-0.8345317146681526,0.030166566611005523,0.3999999999999984,vivaldi-concertos_op3_01-12_lestro_armonico-concerto_op3_n09_for_rv230_2mov,vivaldi,39
1374,62.87627365356623,11.992931157943618,48,6.605769230769231,7.720320466132557,0.47341587764020393,35,1408,64.4325284090909,10.565864519241464,49,6.785542168674699,6.066098081023454,0.46979388770433544,46,1877,65.22216302610549,10.981418849389122,50,9.024038461538462,7.211620469083155,0.47921108742004265,40,1887,64.97880233174351,11.916890083399041,51,9.149090909090908,7.38865323435843,0.5185577942735949,46,200.7999999999998,0.7097220651546395,0.018743110651390737,0.9999999999999932,0.9868461327828789,0.015052069273732085,0.01448429496158791,2.6999999999999957,vivaldi-violin_concerto_op8_n10_rv362_la_caccia,vivaldi,52
5284,64.78274034822104,13.7026701476326,68,12.245654692931634,12.223357940564073,0.08858603066439523,67,4383,63.502395619438744,13.273992907674053,68,10.151708164447017,10.986079415791876,0.12163395709721589,68,2857,61.28946447322366,13.035687974413692,65,6.621089223638471,12.09733893557423,0.08928571428571429,66,5655,65.63006189213085,13.260686860027501,68,13.090277777777779,10.976653696498055,0.10541209762999647,69,-41.30000000000075,0.03290334855142818,-0.1564254796075681,-0.3000000000000088,-0.09967496862701376,-0.2628853212415719,0.001812995808530183,0.3999999999999889,brahms-overture_tragic_op81,brahms,31
751,56.77097203728362,10.672126492662239,50,10.287671232876713,11.021333333333333,0.11866666666666667,46,819,61.172161172161175,12.200538693581688,50,11.030303030303031,13.54034229828851,0.11735941320293398,44,899,59.224694104560626,12.933328297754013,55,12.231292517006803,13.828507795100222,0.12360801781737193,45,550,67.61818181818182,11.024090824752701,54,7.2368421052631575,9.391621129326047,0.18397085610200364,42,-52.30000000000011,3.059416227509393,0.17886826004436995,1.699999999999989,-0.7951497896136908,-0.4600971115210153,0.02021611729204486,-1.1000000000000056,vivaldi-concertos_op3_01-12_lestro_armonico-concerto_op3_n11_for_2_violins_rv565_2mov,vivaldi,42
359,62.66573816155989,9.17303310976437,41,6.298245614035087,9.958100558659218,0.24860335195530725,30,362,64.33977900552486,6.636415357023734,42,6.407079646017699,7.457063711911357,0.23822714681440443,32,368,63.03260869565217,7.388226661026785,38,6.427947598253275,8.444141689373296,0.23433242506811988,31,382,63.24083769633508,9.36153471833321,41,6.72140762463343,10.829396325459317,0.2020997375328084,32,7.4999999999999805,0.04181282944527718,0.13173161297095592,-0.40000000000000413,0.12903539840305941,0.3600965277862226,-0.01434055650137814,0.49999999999999756,vivaldi-gloria_rv589_10mov_qui_sedes,vivaldi,50
